2022-07-14	4	896	28
2022-07-15	5	841	28
2022-07-21	4	922	29
2022-07-26	2	895	30
2022-07-29	5	937	30
2022-08-03	3	1000	31
2022-08-05	5	948	31
2022-08-11	4	1036	32
2022-08-15	1	956	33
2022-08-19	5	1007	33
2022-08-23	2	997	34
2022-08-26	5	986	34
2022-08-31	3	1024	35
2022-09-01	4	1015	35
2022-09-05	1	936	36
2022-09-07	3	1001	36
2022-09-09	5	913	36
2022-09-12	1	926	37
2022-09-13	2	948	37
2022-09-16	5	920	37
2022-09-20	2	922	38
2022-09-23	5	885	38
2022-09-28	3	913	39
2022-10-03	1	806	40
2022-10-07	5	865	40
2022-10-10	1	811	41
2022-10-14	5	848	41
2022-10-18	2	888	42
2022-10-21	5	843	42
2022-10-26	3	893	43
2022-10-28	5	863	43
2022-11-03	4	882	44
2022-11-07	1	820	45
2022-11-11	5	879	45
2022-11-15	2	853	46
2022-11-18	5	826	46
2022-11-23	3	872	47
2022-11-25	5	781	47
2022-12-01	4	836	48
2022-12-05	1	796	49
2022-12-09	5	784	49
2022-12-13	2	779	50
2022-12-16	5	698	50
2022-12-21	3	704	51
2022-12-26	1	631	52
2022-12-30	5	649	52
2023-01-03	2	628	101
2023-01-06	5	647	101
2023-01-11	3	716	102
2023-01-13	5	679	102
2023-01-19	4	803	103
2023-01-23	1	795	104
2023-01-27	5	888	104
2023-01-31	2	921	105
2023-02-03	5	922	105
2023-02-08	3	959	106
2023-02-10	5	872	106
