2022-07-14	4	918	28
2022-07-15	5	874	28
2022-07-21	4	963	29
2022-07-25	1	943	30
2022-07-29	5	986	30
2022-07-29	5	972	30
2022-08-04	4	1087	31
2022-08-08	1	1029	32
2022-08-12	5	1054	32
2022-08-17	3	1079	33
2022-08-19	5	997	33
2022-08-25	4	1085	34
2022-08-29	1	1017	35
2022-09-02	5	1070	35
2022-09-02	5	1000	35
2022-09-05	1	1013	36
2022-09-09	5	1079	36
2022-09-09	5	1009	36
2022-09-12	1	1026	37
2022-09-16	5	1043	37
2022-09-20	2	999	38
2022-09-21	3	1020	38
2022-09-23	5	901	38
2022-09-29	4	924	39
2022-10-03	1	810	40
2022-10-07	5	779	40
2022-10-12	3	736	41
2022-10-14	5	702	41
2022-10-20	4	716	42
2022-10-24	1	695	43
2022-10-28	5	713	43
2022-11-01	2	686	44
2022-11-03	4	712	44
2022-11-07	1	644	45
2022-11-11	5	688	45
2022-11-15	2	664	46
2022-11-18	5	647	46
2022-11-23	3	686	47
2022-11-25	5	613	47
2022-12-01	4	661	48
2022-12-05	1	629	49
2022-12-09	5	620	49
2022-12-13	2	614	50
2022-12-16	5	542	50
2022-12-22	4	529	51
2022-12-26	1	476	52
2022-12-30	5	487	52
2023-01-03	2	466	01
2023-01-06	5	475	01
2023-01-11	3	527	02
2023-01-13	5	500	02
2023-01-19	4	596	03
2023-01-23	1	602	04
2023-01-27	5	683	04
2023-01-31	2	712	05
2023-02-03	5	721	05
2023-02-08	3	758	06
2023-02-10	5	695	06
